Anbieter,Postleitzahl,Jahresverbrauch,Abschlagszahlung,Grundpreis,Arbeitspreis,Wechselbonus,Sofortbonus,Preisgarantie,Vertragslaufzeit,Verlängerung,Kündigungsfrist,Preis im 1. Jahr,Jährliche Gutschrift,Arbeitspreisrabatt,Neukundenbonus,Abschlagsrabatt,Laufzeitbonus im 1. Jahr,Vorauszahlung: jährlich,Online-Abschluss,Zzgl. Treuebonus,Aktionsrabatt,CHECK24 Sofortbonus,Online-Rabatt
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","33,97 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.378,22 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","34,57 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.419,87 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
immergrün! energie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"8,51 €/Monat (102,17 €/Jahr)","39,99 Cent/kWh",NA,30 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.435,95 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (435 € ),NA,NA,NA,NA,NA,NA,NA,NA
idealenergie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"8,61 €/Monat (103,36 €/Jahr)","39,99 Cent/kWh",NA,30 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.436,96 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (435 € ),NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"8,56 €/Monat (102,69 €/Jahr)","33,67 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.459,59 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grüner Funke - Eine Marke der Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"10,22 €/Monat (122,58 €/Jahr)","33,39 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,4 Wochen zum Vertragsende,"2.460,18 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"193,80 €/Monat (2.325,58 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.460,58 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","35,16 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.461,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"9,25 €/Monat (111,02 €/Jahr)","33,61 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"2.463,72 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"9,09 €/Monat (109,03 €/Jahr)","33,65 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.464,53 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"7,90 €/Monat (94,75 €/Jahr)","34,12 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,4 Wochen zum Vertragsende,"2.483,15 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grüner Funke - Eine Marke der Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"10,97 €/Monat (131,64 €/Jahr)","33,65 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.487,14 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","35,76 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.503,17 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"198,58 €/Monat (2.382,96 €/Jahr)","45,00 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"2.517,96 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","36,35 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.544,82 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"8,83 €/Monat (105,92 €/Jahr)","41,77 Cent/kWh",NA,30 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.545,28 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (454 € ),NA,NA,NA,NA,NA,NA,NA,NA
idealenergie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"272,03 €/Monat (3.264,35 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.549,51 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (849 € ),NA,NA,NA,NA,NA,NA,NA,NA
immergrün! energie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"275,67 €/Monat (3.308,10 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.582,32 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (860 € ),NA,NA,NA,NA,NA,NA,NA,NA
idealenergie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"277,08 €/Monat (3.325,00 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.595,00 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (865 € ),NA,NA,NA,NA,NA,NA,NA,NA
Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"8,33 €/Monat (99,97 €/Jahr)","37,41 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,6 Wochen zum Vertragsende,"2.718,90 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"10,21 €/Monat (122,52 €/Jahr)","47,99 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.959,55 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (522 € ),NA,NA,NA,NA,NA,NA,NA,NA
ENSTROGA AG,10969,7.000 kWh,monatlich,"8,76 €/Monat (105,07 €/Jahr)","49,68 Cent/kWh",NA,30 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"3.015,27 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (537 € ),NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"8,85 €/Monat (106,26 €/Jahr)","49,68 Cent/kWh",NA,30 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"3.016,28 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (537 € ),NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"8,03 €/Monat (96,34 €/Jahr)","49,95 Cent/kWh",NA,30 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"3.023,91 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (538 € ),NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"8,20 €/Monat (98,40 €/Jahr)","31,14 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,14 Tage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
